Property Name	Data Type	Data Default Value	Param0 Type	Param0 Default Value	Param1 Type	Param1 Default Value	Param2 Type	Param2 Default Value	Param3 Type	Param3 Default Value
AICustomTimeVal2Prop	Time	0	-	-	-	-	-	-	-	-
AIDefeatedProp	Boolean	False	-	-	-	-	-	-	-	-
AIDefeatedAtHealthPctProp	Real	-1f	-	-	-	-	-	-	-	-
AIDefaultActiveOverrideStateValProp	Integer	0	-	-	-	-	-	-	-	-
AIDelayCompletionTimeProp	Time	0	-	-	-	-	-	-	-	-
AIEnrageStateProp	Integer	0	-	-	-	-	-	-	-	-
AIEnticedToIDProp	EntityId	0	-	-	-	-	-	-	-	-
AIEnticerGlobalNextAvailableTimeProp	Time	0	-	-	-	-	-	-	-	-
AIEnticerTypeNextAvailableTimeProp	Time	0	Entity/WorldEntity.blueprint	Entity/WorldEntity.defaults	-	-	-	-	-	-
AIFlankNextThinkTimeProp	Time	0	-	-	-	-	-	-	-	-
AIFlankTimeoutProp	Time	0	-	-	-	-	-	-	-	-
AIFleeStartTimeProp	Time	0	-	-	-	-	-	-	-	-
AIFlockMinimumMoveDistSqProp	Real	0f	-	-	-	-	-	-	-	-
AIFocusTargetingIDProp	EntityId	0	-	-	-	-	-	-	-	-
AIFullOverrideProp	Prototype	0	-	-	-	-	-	-	-	-
AIHasSensedAlliesProp	Boolean	False	-	-	-	-	-	-	-	-
AIHasSensedHostilesProp	Boolean	False	-	-	-	-	-	-	-	-
AIHostilePlayersNearbyCheckRangeProp	Real	0f	-	-	-	-	-	-	-	-
AIInitialCooldownMSForPowerProp	Integer	0	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
AIIsLeashingProp	Boolean	False	-	-	-	-	-	-	-	-
AIIgnoreNoTgtOverrideProfileProp	Boolean	False	-	-	-	-	-	-	-	-
AIInteractEntityIdProp	Prototype	0	-	-	-	-	-	-	-	-
AIInteractStartedProp	Boolean	False	-	-	-	-	-	-	-	-
AILastAttackerIDProp	EntityId	0	-	-	-	-	-	-	-	-
AILastMoveToIncompletePathETAProp	Time	0	-	-	-	-	-	-	-	-
AILastMoveToIncompletePathTimeProp	Time	0	-	-	-	-	-	-	-	-
AILastOrbitContextStateProp	Integer	0	-	-	-	-	-	-	-	-
AILastPowerActivatedProp	Prototype	0	-	-	-	-	-	-	-	-
AILeaderIDProp	EntityId	0	-	-	-	-	-	-	-	-
AILOSMaxPowerRadiusProp	Real	0f	-	-	-	-	-	-	-	-
AILostWeaponProp	Boolean	False	-	-	-	-	-	-	-	-
AIMasterAvatarProp	Boolean	False	-	-	-	-	-	-	-	-
AIMasterAvatarDbGuidProp	Guid	0	-	-	-	-	-	-	-	-
AIMoveToCurrentPathNodeIndexProp	Integer	-1	-	-	-	-	-	-	-	-
AIMoveToFollowEntityIdProp	EntityId	0	-	-	-	-	-	-	-	-
AIMoveToPathingRangeStartProp	Real	0f	-	-	-	-	-	-	-	-
AIMoveToPathingRangeEndProp	Real	0f	-	-	-	-	-	-	-	-
AIMoveToPathNodeAdvanceThresProp	Real	0f	-	-	-	-	-	-	-	-
AIMoveToPathNodeReverseProp	Boolean	False	-	-	-	-	-	-	-	-
AIMoveToPathNodeSetGroupProp	Integer	-1	-	-	-	-	-	-	-	-
AIMoveToPathNodeSetMethodProp	Integer	0	-	-	-	-	-	-	-	-
AIMoveToPathNodeWalkProp	Boolean	False	-	-	-	-	-	-	-	-
AIMoveToTypeProp	Integer	0	-	-	-	-	-	-	-	-
AINextAllySenseProp	Time	0	-	-	-	-	-	-	-	-
AINextHostileSenseProp	Time	0	-	-	-	-	-	-	-	-
AINextItemSenseProp	Time	0	-	-	-	-	-	-	-	-
AINextSensoryUpdateProp	Time	0	-	-	-	-	-	-	-	-
AINumHostileTargetsNearbyProp	Integer	0	-	-	-	-	-	-	-	-
AINumHostilePlayersNearbyProp	Integer	0	-	-	-	-	-	-	-	-
AIOldRotationOverrideProp	Integer	0	-	-	-	-	-	-	-	-
AIPartialOverrideProp	Prototype	0	-	-	-	-	-	-	-	-
AIPendingTargetIdProp	EntityId	0	-	-	-	-	-	-	-	-
AIPowerOnSpawnProp	Prototype	0	-	-	-	-	-	-	-	-
AIPowerStartedProp	Boolean	False	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
AIPreviousOrbitDirectionProp	Integer	0	-	-	-	-	-	-	-	-
AIProceduralNextAttackTimeProp	Time	0	-	-	-	-	-	-	-	-
AIProceduralNextFlankTimeProp	Time	0	-	-	-	-	-	-	-	-
AIProceduralNextFleeTimeProp	Time	0	-	-	-	-	-	-	-	-
AIProceduralPowerPrevTargetIdProp	EntityId	0	-	-	-	-	-	-	-	-
AIProceduralPowerSpecificCDTimeProp	Time	0	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
AIRawTargetEntityIDProp	EntityId	0	-	-	-	-	-	-	-	-
AIRotationAccumProp	Integer	0	-	-	-	-	-	-	-	-
AIRunToExitDelayFiredProp	Boolean	False	-	-	-	-	-	-	-	-
AIRunToExitWanderCountProp	Integer	0	-	-	-	-	-	-	-	-
AISendsTargetInfoToClientsProp	Boolean	False	-	-	-	-	-	-	-	-
AIStartsEnabledProp	Boolean	True	-	-	-	-	-	-	-	-
AISyncAttackTargetPowerProp	Prototype	0	-	-	-	-	-	-	-	-
AITargetableOverrideProp	Boolean	False	-	-	-	-	-	-	-	-
AIThrowCancelPowerProp	Prototype	0	-	-	-	-	-	-	-	-
AIThrowPowerProp	Prototype	0	-	-	-	-	-	-	-	-
AIThrowPowerLoopDelayProp	Time	0	Entity/Characters/Agent.blueprint	Entity/Characters/Agent.defaults	Entity/EntityKeyword.blueprint	Entity/EntityKeyword.defaults	-	-	-	-
AIThrowPowerPickupLengthProp	Time	0	Entity/Characters/Agent.blueprint	Entity/Characters/Agent.defaults	Entity/EntityKeyword.blueprint	Entity/EntityKeyword.defaults	-	-	-	-
AIThrownObjectPickedUpProp	Boolean	False	-	-	-	-	-	-	-	-
AITrackIncomingDamageProp	Real	0f	-	-	-	-	-	-	-	-
AIUltActivationPhaseProp	Integer	0	-	-	-	-	-	-	-	-
AIUseGlobalThinkVarianceProp	Boolean	True	-	-	-	-	-	-	-	-
AIUsePowerTargetIDProp	EntityId	0	-	-	-	-	-	-	-	-
AllianceOverrideProp	Prototype	0	-	-	-	-	-	-	-	-
AOESizePctModifierProp	Real	0f	-	-	-	-	-	-	-	-
AOESizePctModifierKeywordProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
AOESweepDirectionCWProp	Boolean	True	-	-	-	-	-	-	-	-
AOESweepRateMSProp	Integer	500	-	-	-	-	-	-	-	-
AOESweepTickProp	Integer	-1	-	-	-	-	-	-	-	-
AppearanceEnumClientOverrideProp	Integer	0	-	-	-	-	-	-	-	-
AppearanceEnumServerProp	Integer	0	-	-	-	-	-	-	-	-
AttachedToEntityIdProp	EntityId	0	-	-	-	-	-	-	-	-
AutoPartyPrefCheckedInRegionProp	Boolean	False	Regions/Region.blueprint	Regions/Region.defaults	-	-	-	-	-	-
AvatarEmoteUnlockedProp	Boolean	False	Entity/Characters/Avatars/Avatar.blueprint	Entity/Characters/Avatars/Avatar.defaults	Powers/Blueprints/EmotePower.blueprint	Powers/Blueprints/EmotePower.defaults	-	-	-	-
AvatarInPlayProp	EntityId	0	Integer	0	-	-	-	-	-	-
AvatarIsStarterDEPRECATEDProp	Boolean	False	-	-	-	-	-	-	-	-
AvatarTeamUpAgentProp	Prototype	0	-	-	-	-	-	-	-	-
AvatarTeamUpAgentIdProp	EntityId	0	-	-	-	-	-	-	-	-
AvatarTeamUpIsSummonedProp	Boolean	False	-	-	-	-	-	-	-	-
AvatarTeamUpStartTimeProp	Time	0	-	-	-	-	-	-	-	-
AvatarTeamUpDurationProp	Time	0	-	-	-	-	-	-	-	-
AvatarLastActiveCalendarTimeProp	Time	0	-	-	-	-	-	-	-	-
AvatarLastActiveTimeProp	Time	0	-	-	-	-	-	-	-	-
AvatarLastRegionChangeTimeProp	Time	0	-	-	-	-	-	-	-	-
AvatarLibraryCostumeProp	Prototype	0	Integer	0	Entity/Characters/Avatars/Avatar.blueprint	Entity/Characters/Avatars/Avatar.defaults	-	-	-	-
AvatarLibraryLevelProp	Integer	0	Integer	0	Entity/Characters/Avatars/Avatar.blueprint	Entity/Characters/Avatars/Avatar.defaults	-	-	-	-
AvatarLibraryTeamUpProp	Prototype	0	Integer	0	Entity/Characters/Avatars/Avatar.blueprint	Entity/Characters/Avatars/Avatar.defaults	-	-	-	-
AvatarMappedPowerProp	Prototype	0	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
AvatarMissionLootSeedProp	Integer	0	Missions/Blueprints/Mission.blueprint	Missions/Blueprints/Mission.defaults	-	-	-	-	-	-
AvatarMissionObjectiveRegionIdProp	RegionId	0	Missions/Blueprints/Mission.blueprint	Missions/Blueprints/Mission.defaults	-	-	-	-	-	-
AvatarMissionObjectiveSeqProp	Real	-1f	Missions/Blueprints/Mission.blueprint	Missions/Blueprints/Mission.defaults	-	-	-	-	-	-
AvatarMissionResetsWithRegionIdProp	RegionId	0	Missions/Blueprints/Mission.blueprint	Missions/Blueprints/Mission.defaults	-	-	-	-	-	-
AvatarMissionStateProp	Integer	0	Missions/Blueprints/Mission.blueprint	Missions/Blueprints/Mission.defaults	-	-	-	-	-	-
AvatarModeProp	Prototype	Entity/Characters/Avatars/AvatarModes/AvatarModeNormal.prototype	-	-	-	-	-	-	-	-
AvatarPowerPointsBonusProp	Integer	0	-	-	-	-	-	-	-	-
AvatarPowerUltimatePointsProp	Integer	0	-	-	-	-	-	-	-	-
AvatarPrestigeLevelProp	Integer	0	-	-	-	-	-	-	-	-
AvatarSelectSessionProp	Integer	0	-	-	-	-	-	-	-	-
AvatarSpecializationPowerProp	Boolean	False	Integer	0	Powers/Blueprints/SpecializationPower.blueprint	Powers/Blueprints/SpecializationPower.defaults	-	-	-	-
AvatarSwitchPendingProp	Boolean	False	Entity/Characters/Avatars/Avatar.blueprint	Entity/Characters/Avatars/Avatar.defaults	Integer	0	Integer	0	Integer	0
AvatarSynergySelectedProp	Boolean	False	Entity/Characters/Avatars/Avatar.blueprint	Entity/Characters/Avatars/Avatar.defaults	-	-	-	-	-	-
AvatarSynergyNewUnlockProp	Boolean	False	Entity/Characters/Avatars/Avatar.blueprint	Entity/Characters/Avatars/Avatar.defaults	-	-	-	-	-	-
AvatarTimePlayedStartProp	Time	0	-	-	-	-	-	-	-	-
AvatarTotalTimePlayedProp	Time	0	-	-	-	-	-	-	-	-
AvatarUnlockProp	Integer	0	Entity/Characters/Avatars/Avatar.blueprint	Entity/Characters/Avatars/Avatar.defaults	-	-	-	-	-	-
AvatarVanityTitleProp	Prototype	0	-	-	-	-	-	-	-	-
BlockAlwaysProp	Boolean	False	-	-	-	-	-	-	-	-
BlockChancePctAddProp	Real	0f	-	-	-	-	-	-	-	-
BlockChanceReductionPctProp	Real	0f	-	-	-	-	-	-	-	-
BlockDamageReductionPctProp	Real	0.5f	-	-	-	-	-	-	-	-
BlockDamageReductionPctModProp	Real	0f	-	-	-	-	-	-	-	-
BlockRatingBonusAddProp	Real	0f	-	-	-	-	-	-	-	-
BlockRatingBonusMultProp	Real	0f	-	-	-	-	-	-	-	-
BlockRatingBonusVsPowerKwdProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
BlockRatingBonusVsAttackerKwdProp	Real	0f	Types/Keyword.blueprint	Types/Keyword.defaults	-	-	-	-	-	-
BlocksTeleportsProp	Boolean	False	-	-	-	-	-	-	-	-
BodySliderAreaRefProp	Prototype	0	-	-	-	-	-	-	-	-
BodySliderEntityIdProp	EntityId	0	-	-	-	-	-	-	-	-
BodySliderRegionIdProp	RegionId	0	-	-	-	-	-	-	-	-
BodySliderRegionPosProp	Int21Vector3	0	-	-	-	-	-	-	-	-
BodySliderRegionRefProp	Prototype	0	-	-	-	-	-	-	-	-
BodySliderDifficultyRefProp	Prototype	0	-	-	-	-	-	-	-	-
BodySliderRegionSeedProp	EntityId	0	-	-	-	-	-	-	-	-
BonusItemFindBonusDifficultyMultProp	Integer	0	-	-	-	-	-	-	-	-
BonusItemFindRatingProp	Integer	0	-	-	-	-	-	-	-	-
BonusItemFindPointsProp	Integer	0	-	-	-	-	-	-	-	-
BounceCanRepeatTargetProp	Boolean	True	-	-	-	-	-	-	-	-
BounceCountProp	Integer	0	-	-	-	-	-	-	-	-
BounceCountPayloadProp	Integer	0	-	-	-	-	-	-	-	-
BounceRangePayloadProp	Real	0f	-	-	-	-	-	-	-	-
BounceSpeedPayloadProp	Real	0f	-	-	-	-	-	-	-	-
BoundsScaleRadiusCOTUnitsPerSecProp	Real	0f	-	-	-	-	-	-	-	-
CastSpeedDecrPctProp	Real	0f	-	-	-	-	-	-	-	-
CastSpeedIncrPctProp	Real	0f	-	-	-	-	-	-	-	-
CastSpeedIncrPctKwdProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
CastSpeedIncrPctTabProp	Real	0f	Entity/Items/Affixes/PowerModifierAffixes/PowerProgressionTableTabRefs/PowerProgTableTabRef.blueprint	Entity/Items/Affixes/PowerModifierAffixes/PowerProgressionTableTabRefs/PowerProgTableTabRef.defaults	Entity/Characters/Avatars/Avatar.blueprint	Entity/Characters/Avatars/Avatar.defaults	-	-	-	-
CastSpeedMultProp	Real	0f	-	-	-	-	-	-	-	-
CastSpeedMultKwdProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
CastSpeedMultPowerProp	Real	0f	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
CCAlwaysCheckResistProp	Boolean	False	-	-	-	-	-	-	-	-
CCAttackScoreProp	Integer	0	-	-	-	-	-	-	-	-
CCResistAlwaysProp	Boolean	False	Property/PropertyInfo.blueprint	Property/PropertyInfo.defaults	-	-	-	-	-	-
CCResistAlwaysAllProp	Boolean	False	-	-	-	-	-	-	-	-
CCResistScoreProp	Integer	0	Property/PropertyInfo.blueprint	Property/PropertyInfo.defaults	-	-	-	-	-	-
CCResistScoreAllProp	Integer	0	-	-	-	-	-	-	-	-
CCResistScoreKwdProp	Integer	0	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
ChapterUnlockedProp	Boolean	False	StoryStructure/Blueprints/Chapter.blueprint	StoryStructure/Blueprints/Chapter.defaults	-	-	-	-	-	-
CharacterLevelProp	Integer	0	-	-	-	-	-	-	-	-
ChatOverrideMooProp	Integer	0	-	-	-	-	-	-	-	-
ClusterPrototypeProp	Prototype	0	-	-	-	-	-	-	-	-
CombatLevelProp	Integer	0	-	-	-	-	-	-	-	-
ConditionItemLevelProp	Integer	1	-	-	-	-	-	-	-	-
ConditionKillCountLimitProp	Integer	0	-	-	-	-	-	-	-	-
ConfusedProp	Boolean	False	-	-	-	-	-	-	-	-
ContextAreaRefProp	Prototype	0	-	-	-	-	-	-	-	-
ContextTrackingProp	Prototype	0	Integer	0	-	-	-	-	-	-
ControlledAgentRespawnTimeProp	Time	0	-	-	-	-	-	-	-	-
ControlledAgentHasSummonDurProp	Boolean	False	-	-	-	-	-	-	-	-
CostumeCurrentProp	Prototype	0	-	-	-	-	-	-	-	-
CostumeUnlockProp	Boolean	False	Entity/Items/Costumes/Costume.blueprint	Entity/Items/Costumes/Costume.defaults	-	-	-	-	-	-
CooldownModifierMSForKeywordProp	Integer	0	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
CooldownModifierMSForPowerProp	Integer	0	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
CooldownModifierPctForKeywordProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
CooldownModifierPctForPowerProp	Real	0f	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
CooldownModifierPctGlobalProp	Real	0f	-	-	-	-	-	-	-	-
CraftingCostCreditsModPctProp	Real	0f	-	-	-	-	-	-	-	-
CraftingIngredientAvailableProp	Integer	-1	Entity/Items/Item.blueprint	Entity/Items/Item.defaults	-	-	-	-	-	-
CreatorEntityAssetRefBaseProp	Asset	0	-	-	-	-	-	-	-	-
CreatorEntityAssetRefCurrentProp	Asset	0	-	-	-	-	-	-	-	-
CreatorPowerPrototypeProp	Prototype	0	-	-	-	-	-	-	-	-
CreatorRankProp	Prototype	0	-	-	-	-	-	-	-	-
CreditsAmountProp	Integer	0	-	-	-	-	-	-	-	-
CritAlwaysOnGotHitKeywordProp	Boolean	False	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
CritAlwaysOnKeywordAttackProp	Boolean	False	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
CritChancePctAddProp	Real	0f	-	-	-	-	-	-	-	-
CritChancePctAddPowerKeywordProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
CritDamageMultProp	Real	0f	-	-	-	-	-	-	-	-
CritDamageRatingProp	Real	0f	-	-	-	-	-	-	-	-
CritDamagePowerMultBonusProp	Real	0f	-	-	-	-	-	-	-	-
CritRatingBonusAddProp	Real	0f	-	-	-	-	-	-	-	-
CritRatingBonusMultProp	Real	0f	-	-	-	-	-	-	-	-
CritRatingBonusAddPowerKeywordProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
CritRatingBonusMultPowerKeywordProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
CritRatingBonusVsTargetKeywordProp	Real	0f	Entity/EntityKeyword.blueprint	Entity/EntityKeyword.defaults	-	-	-	-	-	-
CritRatingPowerBonusAddProp	Real	0f	-	-	-	-	-	-	-	-
CritRatingPowerBonusMultProp	Real	0f	-	-	-	-	-	-	-	-
CurrencyProp	Integer	0	Entity/Items/CurrencyItems/CurrencyPrototypes/Currency.blueprint	Entity/Items/CurrencyItems/CurrencyPrototypes/Currency.defaults	-	-	-	-	-	-
CurrentCyclePowerRefProp	Prototype	0	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
DamageProp	Real	0f	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageAccumulationProp	Real	0f	Property/DamageType.type	Any	-	-	-	-	-	-
DamageAccumulationChangeProp	Real	0f	Property/DamageType.type	Any	-	-	-	-	-	-
DamageAccumulationChangeBaseProp	Real	0f	Property/DamageType.type	Any	-	-	-	-	-	-
DamageAccumulationCOTProp	Real	0f	Property/DamageType.type	Any	-	-	-	-	-	-
DamageAccumulationLimitProp	Real	0f	Property/DamageType.type	Any	-	-	-	-	-	-
DamageAccumulationLimitBonusProp	Real	0f	-	-	-	-	-	-	-	-
DamageAccumScaleByPlayersProp	Real	0f	-	-	-	-	-	-	-	-
DamageBaseProp	Curve	0f (PowerRank)	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageBasePerLevelProp	Curve	0f (PowerRank)	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageBaseBonusProp	Real	0f	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageBasePctTargetHealthCurProp	Real	0f	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageBasePctTargetHealthMaxProp	Real	0f	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageBaseUnmodifiedProp	Curve	0f (PowerRank)	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageBaseUnmodifiedPerRankProp	Curve	0f (CombatLevel)	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageBonusReservoirProp	Real	0f	-	-	-	-	-	-	-	-
DamageBonusReservoirExclusiveProp	Prototype	0	-	-	-	-	-	-	-	-
DamageConversionForPowerProp	Real	0f	Property/DamageType.type	Any	Property/PropertyInfo.blueprint	Property/PropertyInfo.defaults	Integer	0	-	-
DamageConversionIncomingProp	Real	0f	Property/DamageType.type	Any	Property/PropertyInfo.blueprint	Property/PropertyInfo.defaults	Integer	1	-	-
DamageConversionMaxProp	Real	0f	Property/PropertyInfo.blueprint	Property/PropertyInfo.defaults	-	-	-	-	-	-
DamageConversionMaxForPowerProp	Real	0f	Property/PropertyInfo.blueprint	Property/PropertyInfo.defaults	-	-	-	-	-	-
DamageConversionOutgoingProp	Real	0f	Property/DamageType.type	Any	Property/PropertyInfo.blueprint	Property/PropertyInfo.defaults	Integer	0	-	-
DamageConversionRatioProp	Real	0f	Property/PropertyInfo.blueprint	Property/PropertyInfo.defaults	-	-	-	-	-	-
DamageConversionRatioForPowerProp	Real	0f	Property/PropertyInfo.blueprint	Property/PropertyInfo.defaults	-	-	-	-	-	-
DamageConvertToConditionProp	Real	0f	Property/DamageType.type	Any	Property/PropertyInfo.blueprint	Property/PropertyInfo.defaults	Integer	1	-	-
DamageIgnoreFromAllianceProp	Prototype	0	-	-	-	-	-	-	-	-
DamageIncomingProp	Real	0f	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageMagnitudeProp	Real	1f	-	-	-	-	-	-	-	-
DamageMetaGameBossPenetrationProp	Real	0f	-	-	-	-	-	-	-	-
DamageMetaGameBossResistanceProp	Real	0f	-	-	-	-	-	-	-	-
DamageOverTimeBaseProp	Curve	0f (PowerRank)	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageOverTimeBasePerLevelProp	Curve	0f (PowerRank)	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageOverTimeBaseBonusProp	Real	0f	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageOverTimeBaseUnmodifiedProp	Curve	0f (PowerRank)	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageOverTimeBaseUnmodPerRankProp	Curve	0f (CombatLevel)	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageOverTimeMagnitudeProp	Real	1f	-	-	-	-	-	-	-	-
DamageOverTimePctTargetHealthMaxProp	Real	0f	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageOverTimeVarianceProp	Real	0f	-	-	-	-	-	-	-	-
DamageMultProp	Real	0f	-	-	-	-	-	-	-	-
DamageMultForPowerProp	Real	0f	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
DamageMultForPowerKeywordProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
DamageMultOnPowerProp	Real	0f	-	-	-	-	-	-	-	-
DamageMultPowerCdKwdProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
DamageMultVsKeywordProp	Real	0f	Types/Keyword.blueprint	Types/Keyword.defaults	-	-	-	-	-	-
DamageMultVsKeywordForPowerKwdProp	Real	0f	Types/Keyword.blueprint	Types/Keyword.defaults	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-
DamageMultVsRankProp	Real	0f	Mods/Ranks/Rank.blueprint	Mods/Ranks/Rank.defaults	-	-	-	-	-	-
DamagePctBonusProp	Real	0f	-	-	-	-	-	-	-	-
DamagePctBonusByTypeProp	Real	0f	Property/DamageType.type	Physical	-	-	-	-	-	-
DamagePctBonusDistanceCloseProp	Real	0f	-	-	-	-	-	-	-	-
DamagePctBonusDistanceFarProp	Real	0f	-	-	-	-	-	-	-	-
DamagePctBonusForPowerProp	Real	0f	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
DamagePctBonusForPowerKeywordProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
DamagePctBonusVsAggroedProp	Real	0f	-	-	-	-	-	-	-	-
DamagePctBonusVsBossesProp	Real	0f	-	-	-	-	-	-	-	-
DamagePctBonusVsConditionKeywordProp	Real	0f	Types/Keyword.blueprint	Types/Keyword.defaults	-	-	-	-	-	-
DamagePctBonusVsRankProp	Real	0f	Mods/Ranks/Rank.blueprint	Mods/Ranks/Rank.defaults	-	-	-	-	-	-
DamagePctBonusVsUnawareProp	Real	0f	-	-	-	-	-	-	-	-
DamagePctResistProp	Real	0f	Property/DamageType.type	Any	-	-	-	-	-	-
DamagePctResistFromAngleProp	Real	0f	Integer	0	-	-	-	-	-	-
DamagePctResistFromDistanceProp	Real	0f	Integer	0	-	-	-	-	-	-
